tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure,Family,Fantasy",6.3,Fox,104400000.0,2010
tt0983193,The Adventures of Tintin,2011,"Action,Adventure,Animation",7.3,Par.,77600000.0,2011
tt0985694,Machete,2010,"Action,Crime,Thriller",6.6,Fox,26600000.0,2010
tt0989757,Dear John,2010,"Drama,Romance,War",6.3,SGem,80000000.0,2010
tt0990407,The Green Hornet,2011,"Action,Comedy,Crime",5.8,Sony,98800000.0,2011
tt0993842,Hanna,2011,"Action,Drama,Thriller",6.8,Focus,40300000.0,2011
tt0993846,The Wolf of Wall Street,2013,"Biography,Crime,Drama",8.2,Par.,116900000.0,2013
tt1001526,Megamind,2010,"Action,Animation,Comedy",7.3,P/DW,148400000.0,2010
tt1002563,The Young Messiah,2016,"Drama,Fantasy",5.6,Focus,6500000.0,2016
tt1007029,The Iron Lady,2011,"Biography,Drama",6.4,Wein.,30000000.0,2011
tt10075374,The Little Prince,2019,Action,8.3,EOne,1300000.0,2016
tt1013860,Dylan Dog: Dead of Night,2010,"Action,Comedy,Crime",5.1,OMNI/FSR,1200000.0,2011
tt1014763,Child 44,2015,"Crime,Drama,History",6.5,LG/S,1200000.0,2015
tt1017451,The Runaways,2010,"Biography,Drama,Music",6.6,App.,3600000.0,2010
tt1020072,Selma,2014,"Biography,Drama,History",7.5,Par.,52100000.0,2014
tt1020558,Centurion,2010,"Action,Adventure,Drama",6.4,Magn.,124000.0,2010
tt1020773,Certified Copy,2010,"Drama,Romance",7.3,IFC,1400000.0,2011
tt1020938,Babies,2010,Documentary,7.1,Focus,7300000.0,2010
tt1023114,The Way Back,2010,"Adventure,Drama,History",7.3,NM,2700000.0,2011
tt1024648,Argo,2012,"Biography,Drama,Thriller",7.7,WB,136000000.0,2012
tt1027718,Wall Street: Money Never Sleeps,2010,Drama,6.2,Fox,52500000.0,2010
tt1028576,Secretariat,2010,"Biography,Drama,Family",7.2,BV,59700000.0,2010
tt1029231,Krrish 3,2013,"Action,Adventure,Sci-Fi",5.3,Eros,2200000.0,2013
tt1032751,The Warrior's Way,2010,"Action,Fantasy,Western",6.3,Rela.,5700000.0,2010
tt1033575,The Descendants,2011,"Comedy,Drama",7.3,FoxS,82600000.0,2011
tt1034314,Iron Sky,2012,"Action,Comedy,Sci-Fi",5.9,EOne,122000.0,2012
tt1034389,The Eagle,2011,"Action,Adventure,Drama",6.2,Focus,19500000.0,2011
tt1034415,Suspiria,2018,"Fantasy,Horror,Mystery",6.8,Amazon,2500000.0,2018
tt1037705,The Book of Eli,2010,"Action,Adventure,Drama",6.9,WB,94800000.0,2010
tt1038919,The Bounty Hunter,2010,"Action,Comedy,Romance",5.6,Sony,67099999.0,2010
tt1041804,The Nutcracker in 3D,2010,"Action,Family,Fantasy",4.3,Free,195000.0,2010
tt1043726,The Legend of Hercules,2014,"Action,Adventure,Fantasy",4.2,LG/S,18800000.0,2014
tt1045658,Silver Linings Playbook,2012,"Comedy,Drama,Romance",7.7,Wein.,132100000.0,2012
tt1047011,Unfinished Song,2012,"Comedy,Drama,Music",7.0,Wein.,1700000.0,2013
tt1047540,Parental Guidance,2012,"Comedy,Family",6.1,Fox,77300000.0,2012
tt1049402,Howl,2010,"Biography,Drama,Romance",6.8,Osci.,617000.0,2010
tt1051904,Goosebumps,2015,"Adventure,Comedy,Family",6.3,Sony,80100000.0,2015
tt1053424,Repo Men,2010,"Action,Crime,Sci-Fi",6.3,Uni.,13800000.0,2010
tt1053810,The Big Year,2011,Comedy,6.2,Fox,7200000.0,2011
tt1055292,Life as We Know It,2010,"Comedy,Drama,Romance",6.6,WB,53400000.0,2010
tt1065073,Boyhood,2014,Drama,7.9,IFC,25400000.0,2014
tt1067583,Water for Elephants,2011,"Drama,Romance",6.9,Fox,58700000.0,2011
tt1067765,Adult World,2013,"Comedy,Drama",6.2,IFC,25400.0,2014
tt1067774,Monte Carlo,2011,"Adventure,Comedy,Family",5.8,Fox,23200000.0,2011
tt1071875,Ghost Rider: Spirit of Vengeance,2011,"Action,Fantasy,Thriller",4.3,Sony,51800000.0,2012
tt1072748,Winchester,2018,"Biography,Drama,Fantasy",5.4,LGF,25100000.0,2018
tt1074638,Skyfall,2012,"Action,Adventure,Thriller",7.8,Sony,304400000.0,2012
tt1075747,Jonah Hex,2010,"Action,Drama,Fantasy",4.7,WB,10500000.0,2010
tt1077368,Dark Shadows,2012,"Comedy,Fantasy,Horror",6.2,WB,79700000.0,2012
tt1078897,Hysteria,2010,"Horror,Thriller",6.7,SPC,1800000.0,2012
tt1083452,Eddie the Eagle,2015,"Biography,Comedy,Drama",7.4,Fox,15800000.0,2016
tt1085448,Lights Out,2010,Drama,6.6,WB (NL),67300000.0,2016
tt1086772,Blended,2014,"Comedy,Romance",6.5,WB,46300000.0,2014
tt1091191,Lone Survivor,2013,"Action,Biography,Drama",7.5,Uni.,125100000.0,2013
tt1091821,Noah,2012,Animation,5.6,Par.,101200000.0,2014
tt1092026,Paul,2011,"Adventure,Comedy,Sci-Fi",7.0,Uni.,37400000.0,2011
tt1092634,Shanghai,2010,"Crime,Drama,Mystery",6.4,Wein.,46400.0,2015
tt1093357,The Darkest Hour,2011,"Action,Adventure,Horror",4.9,Sum.,21400000.0,2011
