tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year,Genre1,Genre2,Genre3
tt1454029,The Help,2011,Drama,8.1,BV,169700000.0,2011,Drama,,
tt1454468,Gravity,2013,"Drama,Sci-Fi,Thriller",7.7,WB,274100000.0,2013,Drama,Sci-Fi,Thriller
tt1462769,The Odd Life of Timothy Green,2012,"Comedy,Drama,Family",6.6,BV,51900000.0,2012,Comedy,Drama,Family
tt1464174,"Big Mommas: Like Father, Like Son",2011,"Action,Comedy,Crime",4.4,Fox,37900000.0,2011,Action,Comedy,Crime
tt1464540,I Am Number Four,2011,"Action,Adventure,Sci-Fi",6.1,BV,55100000.0,2011,Action,Adventure,Sci-Fi
tt1470023,MacGruber,2010,"Action,Comedy,Romance",5.5,Uni.,8500000.0,2010,Action,Comedy,Romance
tt1473832,Bridget Jones's Baby,2016,"Comedy,Drama,Romance",6.5,Uni.,24300000.0,2016,Comedy,Drama,Romance
tt1477834,Aquaman,2018,"Action,Adventure,Fantasy",7.1,WB,335100000.0,2018,Action,Adventure,Fantasy
tt1478338,Bridesmaids,2011,"Comedy,Romance",6.8,Uni.,169100000.0,2011,Comedy,Romance,
tt1483013,Oblivion,2013,"Action,Adventure,Sci-Fi",7.0,Uni.,89100000.0,2013,Action,Adventure,Sci-Fi
tt1485796,The Greatest Showman,2017,"Biography,Drama,Musical",7.6,Fox,174300000.0,2017,Biography,Drama,Musical
tt1486185,Red Riding Hood,2011,"Fantasy,Horror,Mystery",5.5,WB,37700000.0,2011,Fantasy,Horror,Mystery
tt1488555,The Change-Up,2011,"Comedy,Fantasy",6.3,Uni.,37100000.0,2011,Comedy,Fantasy,
tt1502712,Fantastic Four,2015,"Action,Adventure,Drama",4.3,Fox,56100000.0,2015,Action,Adventure,Drama
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Crime",7.5,WB,186800000.0,2011,Action,Adventure,Crime
tt1521197,Anonymous,2011,"Drama,Thriller",6.9,Sony,4500000.0,2011,Drama,Thriller,
tt1524137,Contraband,2012,"Action,Crime,Drama",6.5,Uni.,66500000.0,2012,Action,Crime,Drama
tt1528100,Exodus: Gods and Kings,2014,"Action,Adventure,Drama",6.0,Fox,65000000.0,2014,Action,Adventure,Drama
tt1535109,Captain Phillips,2013,"Biography,Drama,Thriller",7.8,Sony,107100000.0,2013,Biography,Drama,Thriller
tt1535438,Hope Springs,2012,"Comedy,Drama,Romance",6.3,Sony,63500000.0,2012,Comedy,Drama,Romance
tt1547234,Premium Rush,2012,"Action,Crime,Thriller",6.5,Sony,20300000.0,2012,Action,Crime,Thriller
tt1564349,Dolphin Tale,2011,"Drama,Family",6.9,WB,72300000.0,2011,Drama,Family,
tt1564585,Skyline,2010,"Action,Sci-Fi,Thriller",4.4,Uni.,21400000.0,2010,Action,Sci-Fi,Thriller
tt1568911,War Horse,2011,"Drama,History,War",7.2,BV,79900000.0,2011,Drama,History,War
tt1568921,The Secret World of Arrietty,2010,"Adventure,Animation,Family",7.6,BV,19200000.0,2012,Adventure,Animation,Family
tt1570728,"Crazy, Stupid, Love.",2011,"Comedy,Drama,Romance",7.4,WB,84400000.0,2011,Comedy,Drama,Romance
tt1570982,Celine: Through the Eyes of the World,2010,"Documentary,Music",7.9,Sony,,2010,Documentary,Music,
tt1571234,Mortal Engines,2018,"Action,Adventure,Fantasy",6.1,Uni.,16000000.0,2018,Action,Adventure,Fantasy
tt1578275,The Dilemma,2011,"Comedy,Drama",5.3,Uni.,48500000.0,2011,Comedy,Drama,
tt1583420,Larry Crowne,2011,"Comedy,Drama,Romance",6.1,Uni.,35600000.0,2011,Comedy,Drama,Romance
tt1587310,Maleficent,2014,"Action,Adventure,Family",7.0,BV,241400000.0,2014,Action,Adventure,Family
tt1596343,Fast Five,2011,"Action,Crime,Thriller",7.3,Uni.,209800000.0,2011,Action,Crime,Thriller
tt1596350,This Means War,2012,"Action,Comedy,Romance",6.3,Fox,54800000.0,2012,Action,Comedy,Romance
tt1598778,Contagion,2011,"Action,Drama,Thriller",6.6,WB,75700000.0,2011,Action,Drama,Thriller
tt1604171,Prom,2011,"Comedy,Drama,Family",5.4,BV,10100000.0,2011,Comedy,Drama,Family
tt1605630,American Reunion,2012,Comedy,6.7,Uni.,57000000.0,2012,Comedy,,
tt1605776,The Visit,2010,"Comedy,Drama,Romance",8.3,Uni.,65200000.0,2015,Comedy,Drama,Romance
tt1606378,A Good Day to Die Hard,2013,"Action,Thriller",5.3,Fox,67300000.0,2013,Action,Thriller,
tt1611224,Abraham Lincoln: Vampire Hunter,2012,"Action,Fantasy,Horror",5.9,Fox,37500000.0,2012,Action,Fantasy,Horror
tt1615918,Alvin and the Chipmunks: Chipwrecked,2011,"Adventure,Animation,Comedy",4.4,Fox,133100000.0,2011,Adventure,Animation,Comedy
tt1616195,J. Edgar,2011,"Biography,Crime,Drama",6.6,WB,37300000.0,2011,Biography,Crime,Drama
tt1617661,Jupiter Ascending,2015,"Action,Adventure,Sci-Fi",5.3,WB,47400000.0,2015,Action,Adventure,Sci-Fi
tt1620680,A Wrinkle in Time,2018,"Adventure,Family,Fantasy",4.2,BV,100500000.0,2018,Adventure,Family,Fantasy
tt1622547,30 Minutes or Less,2011,"Action,Comedy,Crime",6.1,Sony,37100000.0,2011,Action,Comedy,Crime
tt1628841,Independence Day: Resurgence,2016,"Action,Adventure,Sci-Fi",5.2,Fox,103100000.0,2016,Action,Adventure,Sci-Fi
tt1629757,Chasing Mavericks,2012,"Biography,Drama,Sport",7.2,Fox,6000000.0,2012,Biography,Drama,Sport
tt1631867,Edge of Tomorrow,2014,"Action,Sci-Fi",7.9,WB,100200000.0,2014,Action,Sci-Fi,
tt1634122,Johnny English Reborn,2011,"Action,Adventure,Comedy",6.3,Uni.,8300000.0,2011,Action,Adventure,Comedy
tt1636456,The Intern,2010,,5.5,WB,75800000.0,2015,,,
tt1636826,Project X,2012,Comedy,6.7,WB,54700000.0,2012,Comedy,,
tt1637688,In Time,2011,"Action,Crime,Drama",6.7,Fox,37500000.0,2011,Action,Crime,Drama
tt1637725,Ted,2012,"Comedy,Fantasy",6.9,Uni.,218800000.0,2012,Comedy,Fantasy,
tt1640486,Inside Out,2011,"Crime,Drama",4.6,BV,356500000.0,2015,Crime,Drama,
tt1646971,How to Train Your Dragon 2,2014,"Action,Adventure,Animation",7.8,Fox,177000000.0,2014,Action,Adventure,Animation
tt1646987,Wrath of the Titans,2012,"Action,Adventure,Fantasy",5.7,WB,83700000.0,2012,Action,Adventure,Fantasy
tt1647668,Million Dollar Arm,2014,"Biography,Drama,Sport",7.0,BV,36500000.0,2014,Biography,Drama,Sport
tt1648179,Here Comes the Boom,2012,"Action,Comedy,Sport",6.4,Sony,45300000.0,2012,Action,Comedy,Sport
tt1648190,The Dark Tower,2017,"Action,Adventure,Fantasy",5.7,Sony,50700000.0,2017,Action,Adventure,Fantasy
tt1650043,Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy,Family",6.6,Fox,52700000.0,2011,Comedy,Family,
tt1650554,Kick-Ass 2,2013,"Action,Comedy,Crime",6.6,Uni.,28800000.0,2013,Action,Comedy,Crime
tt1661382,Grudge Match,2013,"Comedy,Drama,Sport",6.4,WB,29800000.0,2013,Comedy,Drama,Sport
tt1663202,The Revenant,2015,"Action,Adventure,Biography",8.0,Fox,183600000.0,2015,Action,Adventure,Biography
tt1663662,Pacific Rim,2013,"Action,Adventure,Sci-Fi",6.9,WB,101800000.0,2013,Action,Adventure,Sci-Fi
tt1664775,Pixels,2010,"Action,Comedy",4.6,Sony,78700000.0,2015,Action,Comedy,
tt1666186,Vampires Suck,2010,Comedy,3.4,Fox,36700000.0,2010,Comedy,,
tt1667889,Ice Age: Continental Drift,2012,"Adventure,Animation,Comedy",6.6,Fox,161300000.0,2012,Adventure,Animation,Comedy
tt1674771,Entourage,2015,Comedy,6.6,WB,32400000.0,2015,Comedy,,
tt1677720,Ready Player One,2018,"Action,Adventure,Sci-Fi",7.5,WB,137700000.0,2018,Action,Adventure,Sci-Fi
tt1679335,Trolls,2016,"Adventure,Animation,Comedy",6.5,Fox,153700000.0,2016,Adventure,Animation,Comedy
tt1690953,Despicable Me 2,2013,"Adventure,Animation,Comedy",7.4,Uni.,368100000.0,2013,Adventure,Animation,Comedy
