primary_title,genres,studio,domestic_gross,year
"Hail, Caesar!","Comedy,Drama,Music",Uni.,30500000.0,2016
The Sitter,Comedy,Fox,30400000.0,2011
The Mountain Between Us,"Action,Adventure,Drama",Fox,30300000.0,2017
How Do You Know,"Comedy,Drama,Romance",Sony,30200000.0,2010
Grudge Match,"Comedy,Drama,Sport",WB,29800000.0,2013
The Hate U Give,"Crime,Drama",Fox,29700000.0,2018
Nanny McPhee Returns,"Comedy,Family,Fantasy",Uni.,29000000.0,2010
Chimpanzee,Documentary,BV,29000000.0,2012
The Five-Year Engagement,"Comedy,Romance",Uni.,28800000.0,2012
Kick-Ass 2,"Action,Comedy,Crime",Uni.,28800000.0,2013
The Finest Hours,"Action,Drama,History",BV,27600000.0,2016
Cloud Atlas,"Action,Drama,Mystery",WB,27100000.0,2012
Winnie the Pooh,"Adventure,Animation,Comedy",BV,26700000.0,2011
Machete,"Action,Crime,Thriller",Fox,26600000.0,2010
Run All Night,"Action,Drama,Thriller",WB,26500000.0,2015
A Walk Among the Tombstones,"Action,Crime,Drama",Uni.,26300000.0,2014
Ramona and Beezus,"Adventure,Comedy,Family",Fox,26200000.0,2010
Leap Year,"Comedy,Romance",Uni.,25900000.0,2010
You Again,"Comedy,Family,Romance",BV,25700000.0,2010
In the Heart of the Sea,"Action,Adventure,Biography",WB,25000000.0,2015
Bridget Jones's Baby,"Comedy,Drama,Romance",Uni.,24300000.0,2016
The Losers,"Action,Adventure,Crime",WB,23600000.0,2010
Monte Carlo,"Adventure,Comedy,Family",Fox,23200000.0,2011
Sanctum,"Adventure,Drama,Thriller",Uni.,23200000.0,2011
Transcendence,Drama,WB,23000000.0,2014
Hitman: Agent 47,"Action,Adventure,Crime",Fox,22500000.0,2015
Rough Night,"Comedy,Crime,Thriller",Sony,22100000.0,2017
Your Highness,"Adventure,Comedy,Fantasy",Uni.,21600000.0,2011
The Book Thief,"Drama,War",Fox,21500000.0,2013
Skyline,"Action,Sci-Fi,Thriller",Uni.,21400000.0,2010
Mars Needs Moms,"Adventure,Animation,Family",BV,21400000.0,2011
Aloha,"Comedy,Drama,Romance",Sony,21100000.0,2015
Diary of a Wimpy Kid: The Long Haul,"Comedy,Family",Fox,20700000.0,2017
Premium Rush,"Action,Crime,Thriller",Sony,20300000.0,2012
Big Miracle,"Biography,Drama,Family",Uni.,20200000.0,2012
Broken City,"Crime,Drama,Thriller",Fox,19700000.0,2013
Runner Runner,"Crime,Thriller",Fox,19300000.0,2013
The Secret World of Arrietty,"Adventure,Animation,Family",BV,19200000.0,2012
Chernobyl Diaries,"Horror,Mystery,Thriller",WB,18100000.0,2012
They Shall Not Grow Old,"Documentary,History,War",WB,18000000.0,2018
Bears,Documentary,BV,17800000.0,2014
Steve Jobs,"Biography,Drama",Uni.,17800000.0,2015
Father Figures,"Adventure,Comedy,Drama",WB,17500000.0,2017
Seventh Son,"Action,Adventure,Fantasy",Uni.,17200000.0,2015
The Counselor,"Crime,Drama,Thriller",Fox,17000000.0,2013
Monkey Kingdom,Documentary,BV,16399999.0,2015
Mortal Engines,"Action,Adventure,Fantasy",Uni.,16000000.0,2018
Devil's Due,"Horror,Mystery,Thriller",Fox,15800000.0,2014
Eddie the Eagle,"Biography,Comedy,Drama",Fox,15800000.0,2016
The Man with the Iron Fists,Action,Uni.,15600000.0,2012
African Cats,"Adventure,Documentary",BV,15400000.0,2011
About Time,"Comedy,Drama,Fantasy",Uni.,15300000.0,2013
Keeping Up with the Joneses,"Action,Comedy",Fox,14900000.0,2016
My Soul to Take,"Horror,Mystery,Thriller",Uni.,14700000.0,2010
What's Your Number?,"Comedy,Romance",Fox,14000000.0,2011
Born in China,Documentary,BV,13900000.0,2017
Repo Men,"Action,Crime,Sci-Fi",Uni.,13800000.0,2010
The Darkest Minds,"Action,Adventure,Drama",Fox,12700000.0,2018
Winter's Tale,"Drama,Fantasy,Mystery",WB,12600000.0,2014
The Light Between Oceans,"Drama,Romance",BV,12500000.0,2016
Strange Magic,"Adventure,Animation,Comedy",BV,12400000.0,2015
People Like Us,"Comedy,Drama",BV,12400000.0,2012
The 33,"Biography,Drama,History",WB,12200000.0,2015
"Roman J. Israel, Esq.","Crime,Drama,Thriller",Sony,12000000.0,2017
Welcome to Marwen,"Biography,Comedy,Drama",Uni.,10800000.0,2018
Jonah Hex,"Action,Drama,Fantasy",WB,10500000.0,2010
Prom,"Comedy,Drama,Family",BV,10100000.0,2011
Bullet to the Head,"Action,Crime,Thriller",WB,9500000.0,2013
Queen of Katwe,"Biography,Drama,Sport",BV,8900000.0,2016
MacGruber,"Action,Comedy,Romance",Uni.,8500000.0,2010
Johnny English Reborn,"Action,Adventure,Comedy",Uni.,8300000.0,2011
A Cure for Wellness,"Drama,Fantasy,Horror",Fox,8100000.0,2017
Inherent Vice,"Comedy,Crime,Drama",WB,8100000.0,2014
Blackhat,"Action,Crime,Thriller",Uni.,8000000.0,2015
The Big Year,Comedy,Fox,7200000.0,2011
The Brothers Grimsby,"Action,Adventure,Comedy",Sony,6900000.0,2016
The Snowman,"Crime,Drama,Mystery",Uni.,6700000.0,2017
Chasing Mavericks,"Biography,Drama,Sport",Fox,6000000.0,2012
Victor Frankenstein,"Drama,Horror,Sci-Fi",Fox,5800000.0,2015
Won't Back Down,Drama,Fox,5300000.0,2012
The Wind Rises,"Animation,Biography,Drama",BV,5200000.0,2014
The Apparition,"Horror,Thriller",WB,4900000.0,2012
Anonymous,"Drama,Thriller",Sony,4500000.0,2011
Johnny English Strikes Again,"Action,Adventure,Comedy",Uni.,4400000.0,2018
The Water Diviner,"Drama,History,War",WB,4200000.0,2015
Morgan,"Drama,Romance",Fox,3900000.0,2016
Midnight Special,"Action,Drama,Mystery",WB,3700000.0,2016
Rules Don't Apply,"Comedy,Drama,Romance",Fox,3700000.0,2016
We Are Your Friends,"Drama,Music,Romance",WB,3600000.0,2015
The Fifth Estate,"Biography,Drama,Thriller",BV,3300000.0,2013
Veronica Mars,"Crime,Drama,Mystery",WB,3300000.0,2014
The Other Side of the Door,Drama,Fox,3000000.0,2016
The Pyramid,Horror,Fox,2800000.0,2014
The Good Lie,Thriller,WB,2700000.0,2014
Jem and the Holograms,"Adventure,Drama,Family",Uni.,2200000.0,2015
The Front Runner,"Biography,Drama,History",Sony,2000000.0,2018
Detective Chinatown 2,"Action,Comedy,Mystery",WB,2000000.0,2018
Flipped,"Comedy,Drama,Romance",WB,1800000.0,2010
102 Not Out,"Comedy,Drama",Sony,1300000.0,2018
Journey to the West: The Demons Strike Back,"Adventure,Comedy,Fantasy",Sony,880000.0,2017
Mubarakan,"Comedy,Romance",Sony,759000.0,2017
By the Sea,"Drama,Romance",Uni.,538000.0,2015
Soorma,"Biography,Drama,Sport",Sony,390000.0,2018
Wolf Totem,"Adventure,Drama",Sony,211000.0,2015
League of Gods,"Action,Fantasy",Sony,182000.0,2016
Poster Boys,Comedy,Sony,97000.0,2017
Loving Pablo,"Action,Biography,Crime",Uni.,22000.0,2018
The Duelist,"Action,Drama,Thriller",Sony,13500.0,2016
Oro,Documentary,Sony,5500.0,2017
