primary_title,genres,studio,domestic_gross,year
Moana,"Adventure,Animation,Comedy",BV,248800000.0,2016
Maleficent,"Action,Adventure,Family",BV,241400000.0,2014
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",BV,241100000.0,2011
Fast & Furious 6,"Action,Crime,Thriller",Uni.,238700000.0,2013
Brave,"Adventure,Animation,Comedy",BV,237300000.0,2012
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",Fox,233900000.0,2014
Doctor Strange,"Action,Adventure,Fantasy",BV,232600000.0,2016
Justice League,"Action,Adventure,Fantasy",WB,229000000.0,2017
The Martian,"Adventure,Drama,Sci-Fi",Fox,228400000.0,2015
The Fate of the Furious,"Action,Crime,Thriller",Uni.,226000000.0,2017
Big Hero 6,"Action,Adventure,Animation",BV,222500000.0,2014
Ted,"Comedy,Fantasy",Uni.,218800000.0,2012
Ant-Man and the Wasp,"Action,Adventure,Comedy",BV,216600000.0,2018
Bohemian Rhapsody,"Biography,Drama,Music",Fox,216400000.0,2018
Solo: A Star Wars Story,"Action,Adventure,Fantasy",BV,213800000.0,2018
Fast Five,"Action,Crime,Thriller",Uni.,209800000.0,2011
Dawn of the Planet of the Apes,"Action,Adventure,Drama",Fox,208500000.0,2014
Thor: The Dark World,"Action,Adventure,Fantasy",BV,206400000.0,2013
The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",Sony,202900000.0,2014
Ralph Breaks the Internet,"Adventure,Animation,Comedy",BV,201100000.0,2018
Tangled,"Adventure,Animation,Comedy",BV,200800000.0,2010
Spectre,"Action,Adventure,Thriller",Sony,200100000.0,2015
22 Jump Street,"Action,Comedy,Crime",Sony,191700000.0,2014
Cars 2,"Adventure,Animation,Comedy",BV,191500000.0,2011
Wreck-It Ralph,"Adventure,Animation,Comedy",BV,189400000.0,2012
Dunkirk,"Action,Drama,History",WB,188000000.0,2017
The Croods,"Action,Adventure,Animation",Fox,187200000.0,2013
Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",WB,186800000.0,2011
Pitch Perfect 2,"Comedy,Music",Uni.,184300000.0,2015
The Revenant,"Action,Adventure,Biography",Fox,183600000.0,2015
Lincoln,"Biography,Drama,History",BV,182200000.0,2012
Ant-Man,"Action,Adventure,Comedy",BV,180200000.0,2015
How to Train Your Dragon 2,"Action,Adventure,Animation",Fox,177000000.0,2014
Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",Fox,176800000.0,2011
